campus,titulo,link,data,hora,tempo_leitura,resumo,imagem
Santa Inês,CEPEX 2026 anuncia abertura de inscrições e submissões de trabalhos,https://www.ifbaiano.edu.br/unidades/santaines/cepex-2026-anuncia-abertura-de-inscricoes-e-submissoes-de-trabalhos/,2026-07-23,14:35,1,Evento acontecerá entre os dias 20 e 22 de outubro no campus Guanambi do IF Baiano,https://www.ifbaiano.edu.br/unidades/santaines/files/2026/07/8056-Cepex-2026.webp
Santa Inês,"Campus Santa Inês realizará Feira de Saúde, Cidadania e Autocuidado com programação em dois dias",https://www.ifbaiano.edu.br/unidades/santaines/campus-santa-ines-realizara-feira-de-saude-cidadania-e-autocuidado-no-dia-29-de-julho/,2026-07-23,12:51,1,"O IF Baiano – Campus Santa Inês promoverá a Feira de Saúde, Cidadania e Autocuidado 2026 em dois momentos. A programação principal será realizada no dia 29 de julho, durante todo o dia, com atividades...",https://www.ifbaiano.edu.br/unidades/santaines/files/2026/07/1900-Feira-de-saude.webp
Santa Inês,Aberta chamada pública para afastamento de servidores TAE em cursos de pós-graduação stricto sensu,https://www.ifbaiano.edu.br/unidades/santaines/aberta-chamada-publica-para-afastamento-de-servidores-tae-em-cursos-de-pos-graduacao-stricto-sensu/,2026-07-22,16:13,1,Inscrições vão até 30 de julho; edital contempla Reitoria e os 14 campi do IF Baiano,https://www.ifbaiano.edu.br/unidades/santaines/files/2026/07/7578-afastamento-pos-graduacao-TAE.webp
Santa Inês,IF Baiano abre consulta sobre regulamentos de TCC e de Atividades Complementares dos cursos de graduação,https://www.ifbaiano.edu.br/unidades/santaines/if-baiano-abre-consulta-sobre-regulamentos-de-tcc-e-de-atividades-complementares-dos-cursos-de-graduacao/,2026-07-22,12:59,1,Comunidade acadêmica poderá encaminhar contribuições até 20 de agosto por meio de formulários eletrônicos.,https://www.ifbaiano.edu.br/unidades/santaines/files/2026/07/5923-consulta-publica-regulamento-cursos-graduacao.webp
Santa Inês,Campus Santa Inês divulga lista de espera para vagas de voleibol das ACCCs 2026,https://www.ifbaiano.edu.br/unidades/santaines/campus-santa-ines-divulga-lista-de-espera-para-vagas-de-voleibol-das-acccs-2026/,2026-07-21,12:52,1,"O IF Baiano – Campus Santa Inês divulga, nesta terça-feira (21), a lista de espera para as modalidades de voleibol de quadra feminino e masculino das Atividades Curriculares da Cultura Corporal (ACCCs...",
Santa Inês,IF Baiano recebe inscrições para eleição de membros do Comitê Gestor do Sistema de Bibliotecas,https://www.ifbaiano.edu.br/unidades/santaines/if-baiano-recebe-inscricoes-para-eleicao-de-membros-do-comite-gestor-do-sistema-de-bibliotecas/,2026-07-21,10:39,1,"O prazo para candidaturas vai até 28 de julho; a seleção visa preencher sete vagas entre as categorias bibliotecário, docente e discente, para atuação no biênio 2026-2028",https://www.ifbaiano.edu.br/unidades/santaines/files/2026/07/1128-ESTRUTURA-BIBLIOTECA-IF-BAIANO.webp
Santa Inês,IF Baiano lança edital de apoio à participação de servidores em eventos científicos,https://www.ifbaiano.edu.br/unidades/santaines/if-baiano-lanca-edital-de-apoio-a-participacao-de-servidores-em-eventos-cientificos/,2026-07-21,10:34,2,Recursos financiarão a apresentação de trabalhos científicos em eventos realizados no Brasil e no exterior,https://www.ifbaiano.edu.br/unidades/santaines/files/2026/07/0644-capa-.webp
Santa Inês,Campus Santa Inês divulga resultado preliminar dos pré-selecionados para o Auxílio Transporte da Graduação – PAISE 2026,https://www.ifbaiano.edu.br/unidades/santaines/campus-santa-ines-divulga-resultado-preliminar-dos-pre-selecionados-para-o-auxilio-transporte-da-graduacao-paise-2026/,2026-07-21,10:18,1,"O Instituto Federal Baiano (IF Baiano) – Campus Santa Inês divulgou, nesta terça-feira (21), o resultado preliminar dos estudantes pré-selecionados no processo seletivo de vagas remanescentes para con...",https://www.ifbaiano.edu.br/unidades/santaines/files/2026/07/4337-Foto-Aerea-P-Adm.webp
Santa Inês,Campus Santa Inês abre seleção para Especialização em EJA Articulada à Educação Profissional,https://www.ifbaiano.edu.br/unidades/santaines/campus-santa-ines-abre-selecao-para-especializacao-em-eja-articulada-a-educacao-profissional/,2026-07-13,20:31,1,"O Instituto Federal Baiano (IF Baiano) – Campus Santa Inês realiza processo seletivo para o curso de Pós-Graduação Lato Sensu em Educação de Jovens e Adultos Articulada à Educação Profissional, confor...",
Santa Inês,Campus Santa Inês publica edital com vagas remanescentes para Auxílio Transporte da Graduação pelo PAISE 2026,https://www.ifbaiano.edu.br/unidades/santaines/campus-santa-ines-publica-edital-com-vagas-remanescentes-para-auxilio-transporte-da-graduacao-pelo-paise-2026/,2026-07-13,19:44,1,"O Instituto Federal Baiano (IF Baiano) – Campus Santa Inês publicou o Edital nº 21/2026, que abre vagas remanescentes para o Auxílio Transporte destinado a estudantes da graduação, por meio do Program...",https://www.ifbaiano.edu.br/unidades/santaines/files/2026/07/4337-Foto-Aerea-P-Adm.webp
Santa Inês,Divulgado novo cronograma eleitoral do Consup com prazos de inscrição de candidatos,https://www.ifbaiano.edu.br/unidades/santaines/divulgado-novo-cronograma-eleitoral-do-consup-com-prazos-de-inscricao-de-candidatos/,2026-07-13,11:38,2,"Novos editais do processo eleitoral do Consup do IF Baiano trazem os prazos de inscrição para candidatos a representantes das categorias Discente, Docente, TAE, Egressos, CODIR, DCE e Sindical",https://www.ifbaiano.edu.br/unidades/santaines/files/2026/07/3430-7634-Eleicoes-consup-2026.webp
Santa Inês,IF Baiano divulga Manual que padroniza procedimentos para apuração e regularização patrimonial,https://www.ifbaiano.edu.br/unidades/santaines/if-baiano-divulga-manual-que-padroniza-procedimentos-para-apuracao-e-regularizacao-patrimonial/,2026-07-13,11:22,1,"Com o objetivo de orientar as unidades do Instituto Federal Baiano na condução de ocorrências envolvendo extravio, perda, avaria ou dano culposo de bens móveis patrimoniais de pequeno valor, a Pró-Rei...",https://www.ifbaiano.edu.br/unidades/santaines/files/2026/07/2553-Capa-Manual.webp
Santa Inês,IF Baiano – Campus Santa Inês divulga Chamada Pública para aquisição de alimentos da agricultura familiar destinados ao PNAE,https://www.ifbaiano.edu.br/unidades/santaines/if-baiano-campus-santa-ines-divulga-chamada-publica-para-aquisicao-de-alimentos-da-agricultura-familiar-destinados-ao-pnae/,2026-07-07,10:04,1,"O IF Baiano – Campus Santa Inês informa que está aberta a Chamada Pública nº 1/2026, destinada à aquisição de gêneros alimentícios da agricultura familiar para atendimento ao Programa Nacional de Alim...",https://www.ifbaiano.edu.br/unidades/santaines/files/2026/07/9386-Chamada-Publica-PNAE.webp
Santa Inês,FAMIF 2026 anuncia abertura de inscrições para apresentações artísticas nos festivais locais,https://www.ifbaiano.edu.br/unidades/santaines/famif-2026-anuncia-abertura-de-inscricoes-para-apresentacoes-artisticas-nos-festivais-locais/,2026-07-03,15:00,2,"As inscrições vão do dia 03 de julho até 05 de agosto; neste ano, o festival traz o tema ‘É preciso estar atento e forte’",https://www.ifbaiano.edu.br/unidades/santaines/files/2026/07/1484-7623-imagem-destacada-famif-2026.jpg-1.webp
Santa Inês,Defeso Eleitoral 2026,https://www.ifbaiano.edu.br/unidades/santaines/defeso-eleitoral-2026/,2026-07-03,14:56,3,Comunicação institucional durante o período eleitoral,https://www.ifbaiano.edu.br/unidades/santaines/files/2026/07/1331-6656-imagem-destacada-defeso-eleitoral-2026.webp
Santa Inês,IF Baiano &#8211; Campus Santa Inês abre inscrições para Atividades Curriculares da Cultura Corporal 2026,https://www.ifbaiano.edu.br/unidades/santaines/if-baiano-campus-santa-ines-abre-inscricoes-para-atividades-curriculares-da-cultura-corporal-2026/,2026-04-23,13:41,1,"O Instituto Federal Baiano (IF Baiano) – Campus Santa Inês publicou o Edital nº 18/2026, de 23 de abril, que regulamenta o processo de seleção para preenchimento de vagas nas Atividades Curriculares d...",https://www.ifbaiano.edu.br/unidades/santaines/files/2026/04/5212-Futsal-capa.webp
